"Date","Open","High","Low","Close","Volume"
"Jul 17, 2013","2,731.65","2,758.35","2,731.65","2,741.90","821,881"
"Jul 16, 2013","2,702.05","2,770.60","2,681.05","2,733.30","787,692"
"Jul 15, 2013","2,785.05","2,790.00","2,728.30","2,746.00","1,609,280"
"Jul 12, 2013","2,781.15","2,905.60","2,750.00","2,804.45","6,609,130"
"Jul 11, 2013","2,535.00","2,563.45","2,509.75","2,535.35","1,963,120"
"Jul 10, 2013","2,505.00","2,520.00","2,493.00","2,503.50","858,177"
"Jul 9, 2013","2,481.00","2,514.00","2,481.00","2,501.00","1,076,421"
"Jul 8, 2013","2,485.00","2,494.00","2,460.50","2,475.15","676,896"
"Jul 5, 2013","2,467.00","2,483.55","2,438.70","2,459.00","542,170"
"Jul 4, 2013","2,433.00","2,475.15","2,420.00","2,469.00","651,348"
"Jul 3, 2013","2,401.00","2,451.90","2,392.60","2,406.85","668,732"
"Jul 2, 2013","2,448.10","2,463.55","2,400.00","2,408.20","638,854"
"Jul 1, 2013","2,469.00","2,473.50","2,441.10","2,443.00","526,135"
"Jun 28, 2013","2,471.20","2,507.75","2,424.00","2,493.00","1,463,424"
"Jun 27, 2013","2,421.00","2,499.95","2,412.60","2,467.15","1,333,868"
"Jun 26, 2013","2,391.60","2,414.60","2,371.65","2,405.00","695,904"
"Jun 25, 2013","2,380.00","2,386.85","2,345.00","2,373.00","723,830"
"Jun 24, 2013","2,402.50","2,403.25","2,351.90","2,382.80","917,069"
"Jun 21, 2013","2,370.60","2,432.00","2,370.60","2,403.00","770,171"
"Jun 20, 2013","2,428.00","2,448.00","2,342.75","2,375.00","850,366"
"Jun 19, 2013","2,446.00","2,448.70","2,407.30","2,445.10","729,604"
"Jun 18, 2013","2,430.00","2,460.00","2,424.70","2,456.00","535,613"
"Jun 17, 2013","2,411.45","2,426.00","2,394.85","2,421.00","340,063"
"Jun 14, 2013","2,391.70","2,409.00","2,377.15","2,398.00","698,008"
"Jun 13, 2013","2,424.00","2,425.00","2,375.00","2,377.00","519,291"
"Jun 12, 2013","2,462.25","2,506.40","2,412.85","2,430.40","740,911"
"Jun 11, 2013","2,490.00","2,514.50","2,465.85","2,472.00","744,713"
"Jun 10, 2013","2,460.00","2,498.00","2,457.20","2,488.70","536,130"
"Jun 7, 2013","2,425.00","2,472.90","2,420.00","2,450.50","827,271"
"Jun 6, 2013","2,450.00","2,454.65","2,415.90","2,418.10","938,654"
"Jun 5, 2013","2,480.00","2,490.20","2,455.00","2,463.00","634,848"
"Jun 4, 2013","2,490.00","2,519.45","2,463.60","2,490.10","1,464,320"
"Jun 3, 2013","2,525.00","2,625.00","2,475.15","2,508.10","4,151,906"
"May 31, 2013","2,342.00","2,434.90","2,342.00","2,404.00","2,312,288"
